id,session_id,map_id,node_id,date_stamp
10.100.20.26,159,59,1,6,1410960402
10.100.20.26,160,59,1,10,1410960407
10.100.20.26,161,59,1,12,1410960561
10.100.20.26,162,59,1,42,1410960635
10.100.20.26,163,59,1,24,1410960654
10.100.20.26,164,59,1,45,1410960932
10.100.20.26,165,59,1,26,1410960957
10.100.20.26,166,59,1,46,1410961011
10.100.20.26,167,59,1,27,1410961047
10.100.20.26,168,59,1,46,1410961054
10.100.20.26,169,59,1,28,1410961056
10.100.20.26,170,59,1,29,1410961133
10.100.20.26,171,59,1,47,1410961149
10.100.20.26,172,59,1,29,1410961155
10.100.20.26,173,59,1,30,1410961156
10.100.20.26,174,59,1,31,1410961202
10.100.20.26,175,59,1,32,1410961352
10.100.20.26,176,59,1,33,1410961364
10.100.20.26,177,59,1,34,1410961410
10.100.20.26,178,59,1,35,1410961446
10.100.20.26,179,59,1,37,1410961463
10.100.20.26,180,59,1,68,1410961491
10.100.20.26,181,59,1,70,1410961513
10.100.20.26,182,59,1,71,1410961546
10.100.20.26,183,59,1,72,1410961588
10.100.20.26,184,59,1,75,1410961616
10.100.20.26,185,59,1,77,1410961647
10.100.20.26,186,59,1,78,1410961736
10.100.20.26,187,59,1,80,1410961767
10.100.20.26,188,59,1,81,1410961774
10.100.20.26,189,59,1,83,1410961792
10.100.20.26,190,60,1,3,1410967165
10.100.20.26,191,61,1,3,1410969648
10.100.20.26,192,62,1,3,1410974423
10.100.20.26,193,62,1,4,1410974460
10.100.20.26,194,62,1,5,1410974722
10.100.20.26,195,62,1,6,1410974773
10.100.20.26,196,62,1,11,1410974785
10.100.20.26,197,63,1,3,1410974882
10.100.20.26,198,63,1,4,1410974887
10.100.20.26,199,63,1,5,1410974892
10.100.20.26,200,63,1,6,1410974924
10.100.20.26,201,63,1,10,1410974934
10.100.20.26,202,64,1,3,1410979185
10.100.20.26,203,65,1,3,1410980610
10.100.20.26,204,66,1,3,1410980939
10.100.20.26,205,67,1,3,1410981039
10.100.20.26,206,68,1,3,1410981042
10.100.20.26,207,69,1,3,1410981046
10.100.20.26,208,70,1,3,1410985119
10.100.20.26,209,71,1,3,1410985841
10.100.20.26,210,72,1,3,1410990638
10.100.20.26,211,73,1,3,1410992514
10.100.20.26,212,73,1,4,1410992524
10.100.20.26,213,73,1,5,1410992770
10.100.20.26,214,73,1,6,1410992840
10.100.20.26,215,73,1,10,1410992852
10.100.20.26,216,73,1,12,1410993012
10.100.20.26,217,73,1,42,1410993088
10.100.20.26,218,73,1,24,1410993131
10.100.20.26,219,73,1,45,1410993413
10.100.20.26,220,73,1,26,1410993429
10.100.20.26,221,73,1,46,1410993679
10.100.20.26,222,73,1,28,1410993687
10.100.20.26,223,73,1,29,1410994092
10.100.20.26,224,73,1,30,1410994098
10.100.20.26,225,73,1,31,1410994293
10.100.20.26,226,73,1,32,1410994571
10.100.20.26,227,73,1,33,1410994594
10.100.20.26,228,73,1,34,1410994853
10.100.20.26,229,73,1,35,1410994913
10.100.20.26,230,73,1,36,1410994926
10.100.20.26,231,73,1,38,1410994977
10.100.20.26,232,73,1,49,1410995003
10.100.20.26,233,73,1,53,1410995014
10.100.20.26,234,73,1,50,1410995086
10.100.20.26,235,73,1,51,1410995110
10.100.20.26,236,73,1,51,1410995245
10.100.20.26,237,73,1,54,1410995378
10.100.20.26,238,73,1,55,1410995422
10.100.20.26,239,73,1,57,1410995466
10.100.20.26,240,73,1,58,1410995632
10.100.20.26,241,73,1,55,1410995652
10.100.20.26,242,73,1,56,1410995669
10.100.20.26,243,73,1,59,1410995728
10.100.20.26,244,73,1,60,1410995749
10.100.20.26,245,73,1,62,1410995753
